Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude
31,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473244200,,,,,,,892.6,,,,23.9,,16,,,,,,,,,,,,24.7,,,40.43743056,-79.86357222
32,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473247800,,,,,,,1320.3,,,,27.3,,16,,,,,,,,,,,,24.1,,,40.43743056,-79.86357222
33,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473251400,,,,,,,1058.9,,,,25.9,,15,,,,,,,,,,,,26.4,,,40.43743056,-79.86357222
34,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473255000,,,,,,,658.7,,,,16.5,,13,,,,,,,,,,,,19.9,,,40.43743056,-79.86357222
35,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473258600,,,,,,,675.1,,,,19.1,,16,,,,,,,,,,,,19.8,,,40.43743056,-79.86357222
36,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473262200,,,,,,,684.8,,,,11.8,,18,,,,,,,,,,,,14.2,,,40.43743056,-79.86357222
37,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473265800,,,,,,,617.5,,,,7.9,,15,,,,,,,,,,,,13.2,,,40.43743056,-79.86357222
38,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473269400,,,,,,,542.6,,,,9.7,,13,,,,,,,,,,,,12.6,,,40.43743056,-79.86357222
39,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473273000,,,,,,,608.5,,,,6.3,,8,,,,,,,,,,,,10.9,,,40.43743056,-79.86357222
40,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473276600,,,,,,,741.6,,,,6.8,,5,,,,,,,,,,,,8.9,,,40.43743056,-79.86357222
41,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473280200,,,,,,,348.7,,,,2,,10,,,,,,,,,,,,5.8,,,40.43743056,-79.86357222
