,Index,Id,Name,Location,OZONE_PPM,EpochTime,PM2_5_daily_max,PM2_5_daily_mean,OZONE,CO_PPM,PM25B_UG_M3_daily_mean,OZONE_PPM_daily_median,CO_PPB,PM25B_UG_M3,OZONE_daily_max,OZONE2_PPM,NO_PPB,OZONE_daily_mean,PM25T_UG_M3,PM2_5,OZONE2_PPM_daily_median,PM25B_UG_M3_daily_max,OZONE_PPM_daily_max,SO2_PPB,OZONE_PPM_daily_mean,OZONE_daily_median,PM25B_UG_M3_daily_median,PM10_UG_M3,PM2_5_daily_median,OZONE2_PPM_daily_mean,NO2_PPB,OZONE2_PPM_daily_max,PM10B_UG_M3,Latitude,Longitude,Time
0,0,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473132600,,,,,,,919.3,,,,2.7,,18,,,,,,,,,,,,24.5,,,40.43743056,-79.86357222,9/5/16 23:30
1,1,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473136200,,,,,,,1017.7,,,,10.5,,17,,,,,,,,,,,,29.5,,,40.43743056,-79.86357222,9/6/16 00:30
2,2,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473139800,,,,,,,809.7,,,,11,,21,,,,,,,,,,,,29.5,,,40.43743056,-79.86357222,9/6/16 01:30
3,3,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473143400,,,,,,,,,,,6.6,,27,,,,,,,,,,,,24.7,,,40.43743056,-79.86357222,9/6/16 02:30
4,4,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473147000,,,,,,,584.8,,,,,,25,,,,,,,,,,,,,,,40.43743056,-79.86357222,9/6/16 03:30
5,5,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473150600,,,,,,,600.2,,,,14.3,,24,,,,,,,,,,,,25.5,,,40.43743056,-79.86357222,9/6/16 04:30
6,6,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473154200,,,,,,,621.2,,,,2.6,,24,,,,,,,,,,,,17.2,,,40.43743056,-79.86357222,9/6/16 05:30
7,7,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473157800,,,,,,,628.4,,,,5.4,,23,,,,,,,,,,,,17.3,,,40.43743056,-79.86357222,9/6/16 06:30
8,8,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473161400,,,,,,,618.1,,,,8.3,,26,,,,,,,,,,,,16.4,,,40.43743056,-79.86357222,9/6/16 07:30
9,9,43,Parkway East Near Road ACHD,[40.43743055555555# -79.86357222222222],,1473165000,,,,,,,2929.4,,,,18.7,,30,,,,,,,,,,,,18.7,,,40.43743056,-79.86357222,9/6/16 08:30
